,image_path,similar_images
0,data/uob_image_set/14931419/14931419_4.jpg,"['data/uob_image_set/14931419/14931419_1.jpg', 'data/uob_image_set/14931419/14931419_2.jpg', 'data/uob_image_set/14931419/14931419_4.jpg', 'data/uob_image_set/14931419/14931419_0.jpg', 'data/uob_image_set/14931419/14931419_3.jpg']"
1,data/uob_image_set/14931419/14931419_0.jpg,"['data/uob_image_set/14931419/14931419_1.jpg', 'data/uob_image_set/14931419/14931419_2.jpg', 'data/uob_image_set/14931419/14931419_4.jpg', 'data/uob_image_set/14931419/14931419_0.jpg', 'data/uob_image_set/14931419/14931419_3.jpg']"
2,data/uob_image_set/14931419/14931419_2.jpg,"['data/uob_image_set/14931419/14931419_1.jpg', 'data/uob_image_set/14931419/14931419_2.jpg', 'data/uob_image_set/14931419/14931419_4.jpg', 'data/uob_image_set/14931419/14931419_0.jpg', 'data/uob_image_set/14931419/14931419_3.jpg']"
3,data/uob_image_set/14931419/14931419_1.jpg,"['data/uob_image_set/14931419/14931419_1.jpg', 'data/uob_image_set/14931419/14931419_2.jpg', 'data/uob_image_set/14931419/14931419_4.jpg', 'data/uob_image_set/14931419/14931419_0.jpg', 'data/uob_image_set/14931419/14931419_3.jpg']"
4,data/uob_image_set/14931419/14931419_3.jpg,"['data/uob_image_set/14931419/14931419_1.jpg', 'data/uob_image_set/14931419/14931419_2.jpg', 'data/uob_image_set/14931419/14931419_4.jpg', 'data/uob_image_set/14931419/14931419_0.jpg', 'data/uob_image_set/14931419/14931419_3.jpg']"
5,data/uob_image_set/13491312/13491312_2.jpg,"['data/uob_image_set/13491312/13491312_2.jpg', 'data/uob_image_set/13491312/13491312_1.jpg', 'data/uob_image_set/13491312/13491312_0.jpg', 'data/uob_image_set/13491312/13491312_4.jpg', 'data/uob_image_set/13491312/13491312_3.jpg']"
6,data/uob_image_set/13491312/13491312_0.jpg,"['data/uob_image_set/13491312/13491312_2.jpg', 'data/uob_image_set/13491312/13491312_1.jpg', 'data/uob_image_set/13491312/13491312_0.jpg', 'data/uob_image_set/13491312/13491312_4.jpg', 'data/uob_image_set/13491312/13491312_3.jpg']"
7,data/uob_image_set/13491312/13491312_1.jpg,"['data/uob_image_set/13491312/13491312_2.jpg', 'data/uob_image_set/13491312/13491312_1.jpg', 'data/uob_image_set/13491312/13491312_0.jpg', 'data/uob_image_set/13491312/13491312_4.jpg', 'data/uob_image_set/13491312/13491312_3.jpg']"
8,data/uob_image_set/13491312/13491312_3.jpg,"['data/uob_image_set/13491312/13491312_2.jpg', 'data/uob_image_set/13491312/13491312_1.jpg', 'data/uob_image_set/13491312/13491312_0.jpg', 'data/uob_image_set/13491312/13491312_4.jpg', 'data/uob_image_set/13491312/13491312_3.jpg']"
9,data/uob_image_set/13491312/13491312_4.jpg,"['data/uob_image_set/13491312/13491312_2.jpg', 'data/uob_image_set/13491312/13491312_1.jpg', 'data/uob_image_set/13491312/13491312_0.jpg', 'data/uob_image_set/13491312/13491312_4.jpg', 'data/uob_image_set/13491312/13491312_3.jpg']"
10,data/uob_image_set/15341478/15341478_0.jpg,"['data/uob_image_set/15341478/15341478_1.jpg', 'data/uob_image_set/15341478/15341478_3.jpg', 'data/uob_image_set/15341478/15341478_0.jpg', 'data/uob_image_set/15341478/15341478_4.jpg', 'data/uob_image_set/15341478/15341478_2.jpg']"
